variant,disabled_expert,f1,iou,precision,recall,importance_f1,importance_iou,routing_frac,n_samples,n_tokens
Full MoE,None,0.535481,0.365637,0.408603,0.776644,0.000000,0.000000,1.000000,296,57426
- Expert 0,0,0.534493,0.364716,0.411468,0.762462,0.000988,0.000921,0.248877,296,57426
- Expert 1,1,0.534052,0.364305,0.408431,0.771272,0.001429,0.001331,0.250688,296,57426
- Expert 2,2,0.528743,0.359382,0.401325,0.774710,0.006738,0.006255,0.239682,296,57426
- Expert 3,3,0.525318,0.356224,0.396103,0.779652,0.010164,0.009412,0.260753,296,57426
