stem,vor_f1,vor_iou,vor_precision,vor_recall,vor_tp,vor_fp,vor_fn,vor_tn,raw_f1,raw_iou,raw_precision,raw_recall,raw_tp,raw_fp,raw_fn,raw_tn,part_f1,part_iou,part_precision,part_recall,part_tp,part_fp,part_fn,part_tn,delta_iou_part_vs_vor,delta_iou_part_vs_raw,partition_coverage,overlap_before,overlap_after,num_masks,avg_mask_area
01658,0.044139157705044646,0.02256763709899367,0.023728642963186632,0.31564853556485356,1886.0,77596.0,4089.0,178573.0,0.00367716641881844,0.001841969824200233,0.0021928410190261206,0.011380753138075314,68.0,30942.0,5907.0,225227.0,0.047702783103060746,0.024434180764177648,0.025897215044501865,0.3019246861924686,1804.0,67856.0,4171.0,188313.0,0.001866543665183979,0.022592210939977417,1.0,0.21313858032226562,0.0,65.0,3181.4307692307693
01992,0.21528488570453766,0.12062703116038999,0.12835638730675344,0.6670190274841438,5679.0,38565.0,2835.0,215065.0,0.3097064539224711,0.18322643107830086,0.19794730993005163,0.7112990368804323,6056.0,24538.0,2458.0,229092.0,0.00031419370041630665,0.000157121533506167,0.00047427080863172874,0.0002349072116513977,2.0,4215.0,8512.0,249415.0,-0.12046990962688382,-0.1830693095447947,1.0,0.5016822814941406,0.0,153.0,2641.718954248366
01770,0.07160344792507341,0.03713108066285907,0.03738880389823786,0.843425467327049,5279.0,135913.0,980.0,119972.0,0.22831238409231402,0.12886717841358455,0.13609703669583909,0.7081003355168557,4432.0,28133.0,1827.0,227752.0,0.1491951652632182,0.08061096581500797,0.08194245622866492,0.8322415721361239,5209.0,58360.0,1050.0,197525.0,0.0434798851521489,-0.048256212598576584,1.0,0.12796783447265625,0.0,60.0,3804.733333333333
00912,0.17183722118167888,0.09399448625288727,0.13421997606064637,0.23875088715400994,10092.0,65098.0,32178.0,154776.0,0.1349825719485487,0.07237603784195032,0.19390287132222617,0.10352495859947954,4376.0,18192.0,37894.0,201682.0,0.13948901837740924,0.07497349908451383,0.152059193075527,0.1288384196829903,5446.0,30369.0,36824.0,189505.0,-0.019020987168373443,0.0025974612425635063,1.0,0.3007621765136719,0.0,80.0,3497.375
02311,0.16769506879753865,0.09152137613224004,0.09223508618541969,0.9220431370706264,19622.0,193117.0,1659.0,47746.0,0.11083986519984688,0.05867150336176885,0.06396216302348152,0.4149711009820967,8831.0,129235.0,12450.0,111628.0,0.21123150355619486,0.11808766979971841,0.11812776948941192,0.9971335933461773,21220.0,158416.0,61.0,82447.0,0.02656629366747837,0.05941616643794956,1.0,0.5284156799316406,0.0,72.0,5167.972222222223
02545,0.29173229093531183,0.17077668177374922,0.27008573034760613,0.3171509908819606,23061.0,62323.0,49652.0,127108.0,0.13063892469158536,0.06988426495936961,0.40019741944581544,0.07806031933767002,5676.0,8507.0,67037.0,180924.0,0.26278981695771086,0.15127117001899004,0.3385886537126995,0.21472088897446123,15613.0,30499.0,57100.0,158932.0,-0.019505511754759175,0.08138690505962043,1.0,0.19733047485351562,0.0,65.0,3171.6769230769232
01031,0.6485055301868142,0.4798432732591617,0.6386033524473923,0.6587196307535752,72500.0,41029.0,37562.0,111053.0,0.687224295443808,0.5234894986696428,0.8264916559200194,0.5881230579128128,64730.0,13589.0,45332.0,138493.0,0.7027554354177358,0.5417293350880491,0.7971849819594462,0.6283276698588068,69155.0,17594.0,40907.0,134488.0,0.061886061828887395,0.01823983641840632,1.0,0.13623428344726562,0.0,138.0,1793.9565217391305
10345,0.24559413845074834,0.13998707131192162,0.2886558159113231,0.21371250486949747,8229.0,20279.0,30276.0,203360.0,0.3513279802347128,0.21309755732054547,0.5481277533039648,0.2585118815738216,9954.0,8206.0,28551.0,215433.0,0.29769780781016736,0.17487953030666692,0.3769200159172304,0.24599402674977275,9472.0,15658.0,29033.0,207981.0,0.0348924589947453,-0.03821802701387855,1.0,0.3045692443847656,0.0,81.0,3581.3333333333335
