stem,vor_f1,vor_iou,vor_precision,vor_recall,vor_tp,vor_fp,vor_fn,vor_tn,raw_f1,raw_iou,raw_precision,raw_recall,raw_tp,raw_fp,raw_fn,raw_tn,part_f1,part_iou,part_precision,part_recall,part_tp,part_fp,part_fn,part_tn,delta_iou_part_vs_vor,delta_iou_part_vs_raw,partition_coverage,overlap_before,overlap_after,num_masks,avg_mask_area
00816,0.09164208140067685,0.04802143272365772,0.0502809558674347,0.5165851005981512,5700.0,107663.0,5334.0,143447.0,0.2398192220779845,0.1362469270691068,0.16319853422326921,0.45205727750589086,4988.0,25576.0,6046.0,225534.0,0.07624811573334533,0.03963510905794983,0.04352684305163113,0.3071415624433569,3389.0,74471.0,7645.0,176639.0,-0.008386323665707893,-0.09661181801115697,1.0,0.12073898315429688,0.0,113.0,1692.1681415929204
11889,0.409805091978235,0.25770746083449664,0.3791545335877096,0.4458470191709066,41536.0,68013.0,51626.0,100969.0,0.12338883664324836,0.06575088065795098,0.1733975978543942,0.09576866104205578,8922.0,42532.0,84240.0,126450.0,0.1469142863813048,0.07928089094940537,0.16099570200573066,0.1350980013310148,12586.0,65590.0,80576.0,103392.0,-0.17842656988509126,0.013530010291454383,1.0,0.19227218627929688,0.0,52.0,4469.576923076923
01811,0.13629645553973072,0.07313204717824495,0.13156939040207521,0.14137585015051846,5072.0,33478.0,30804.0,192790.0,0.040653833544096296,0.020748673327915093,0.12716085555230003,0.02419444754153194,868.0,5958.0,35008.0,220310.0,0.12613521695257318,0.06731287022078622,0.15156848939998435,0.10801092652469618,3875.0,21691.0,32001.0,204577.0,-0.005819176957458733,0.046564196892871126,1.0,0.11526107788085938,0.0,115.0,1765.3826086956522
10271,0.13912023016353725,0.07476046137884737,0.12372487627512373,0.1588914349950279,3675.0,26028.0,19454.0,212987.0,0.025377838842641234,0.01285199738048461,0.19418676561533704,0.013576030092092179,314.0,1303.0,22815.0,237712.0,0.006999869161324087,0.003512227145905137,0.014375923686685476,0.00462622681482122,107.0,7336.0,23022.0,231679.0,-0.07124823423294223,-0.009339770234579473,1.0,0.2624549865722656,0.0,129.0,2200.046511627907
02729,0.24860695759538834,0.14194812447927635,0.14630693882173088,0.8265273483313786,15504.0,90465.0,3254.0,152921.0,0.04065827686350435,0.020750988142292492,0.051504251144538916,0.033585670114084656,630.0,11602.0,18128.0,231784.0,0.2920921844527859,0.17102339001780342,0.18180275660436462,0.7425631730461669,13929.0,62687.0,4829.0,180699.0,0.029075265538527073,0.15027240187551094,1.0,0.10538864135742188,0.0,105.0,1674.3333333333333
04539,0.6054894578919001,0.43419496634035754,0.4951712432403984,0.779053158897077,75269.0,76737.0,21347.0,88791.0,0.35917189662621835,0.21889672409176114,0.6140421163332248,0.2538192431895338,24523.0,15414.0,72093.0,150114.0,0.6285203602282362,0.45827903091060984,0.5639954268418066,0.709716817090337,68570.0,53009.0,28046.0,112519.0,0.024084064570252306,0.2393823068188487,1.0,0.15618896484375,0.0,128.0,1411.0234375
09862,0.12637833373396695,0.06745136225171228,0.0839564003242951,0.25545699192664206,10252.0,111859.0,29880.0,110153.0,0.06199033246005682,0.03198659609306576,0.04403762071026391,0.10465463968902622,4200.0,91173.0,35932.0,130839.0,0.06001671661264347,0.030936718438031988,0.04126061647995365,0.1100368783016047,4416.0,102611.0,35716.0,119401.0,-0.03651464381368029,-0.001049877655033775,1.0,0.34578704833984375,0.0,73.0,4521.753424657534
00864,0.5196430821667096,0.3510255370895825,0.43258769344509607,0.6505649377967426,43299.0,56794.0,23257.0,138794.0,0.43864603900594,0.28093952426179475,0.49228640350057035,0.3955466073682313,26326.0,27151.0,40230.0,168437.0,0.2190437761313198,0.12299222922812904,0.2555335216232999,0.19167317747460785,12757.0,37166.0,53799.0,158422.0,-0.22803330786145348,-0.15794729503366572,1.0,0.25783538818359375,0.0,87.0,3435.5862068965516
06645,0.04018275346360544,0.020503316589656935,0.027895991876504614,0.07181249449290686,2445.0,85202.0,31602.0,142895.0,0.05708471483956985,0.029380959260329385,0.040695856626521094,0.09557376567685846,3254.0,76705.0,30793.0,151392.0,0.06113186402689578,0.03152966562948549,0.044815357441156736,0.09613181778130232,3273.0,69760.0,30774.0,158337.0,0.011026349039828555,0.0021487063691561052,1.0,0.31597137451171875,0.0,71.0,4723.478873239436
05365,0.20896073561860093,0.1166701030927835,0.1929220436064847,0.22790800708877074,11317.0,47344.0,38339.0,165144.0,0.16082764355042453,0.08744566162406538,0.39035938834122486,0.10127678427581763,5029.0,7854.0,44627.0,204634.0,0.012337405184756449,0.00620699167803338,0.025315664458057257,0.008156114064765588,405.0,15593.0,49251.0,196895.0,-0.11046311141475013,-0.081238669946032,1.0,0.18944931030273438,0.0,92.0,2824.554347826087
02395,0.5853553064947989,0.4137825626337366,0.4770053630821068,0.7573945902028866,98815.0,108342.0,31652.0,23335.0,0.2762518043796517,0.16026227327259554,0.41583578616449124,0.20682624725026252,26984.0,37907.0,103483.0,93770.0,0.2549323395734999,0.1460873668996844,0.3880774775904219,0.18981045015214576,24764.0,39048.0,105703.0,92629.0,-0.2676951957340522,-0.014174906372911134,1.0,0.056301116943359375,0.0,30.0,8844.933333333332
09062,0.34207978936227884,0.20633067090164572,0.23780427624200334,0.6092173313412251,26504.0,84949.0,17001.0,133690.0,0.32193067644469453,0.19184587425901087,0.26599574046854846,0.4076542926100448,17735.0,48939.0,25770.0,169700.0,0.3113920016995061,0.18440751317825557,0.2894549763033175,0.33692679002413517,14658.0,35982.0,28847.0,182657.0,-0.021923157723390152,-0.007438361080755296,1.0,0.3411369323730469,0.0,65.0,4648.7692307692305
01410,0.5732676788071288,0.4018046484906346,0.5830901645374071,0.5637706414405443,47558.0,34004.0,36799.0,143783.0,0.10975014125781705,0.05806118209729554,0.2856145947562556,0.06792560190618444,5730.0,14332.0,78627.0,163455.0,0.007835051546391752,0.003932933140136618,0.03005615755754172,0.004504664698839456,380.0,12263.0,83977.0,165524.0,-0.397871715350498,-0.054128248957158925,1.0,0.6208915710449219,0.0,77.0,5891.454545454545
07148,0.1798832027047795,0.09883058217587706,0.13941043855544685,0.2534686238418586,16387.0,101158.0,48264.0,96335.0,0.0705558984870896,0.03656799304616573,0.1428099952852428,0.046851556820466815,3029.0,18181.0,61622.0,179312.0,0.012219215001084884,0.006147164261421086,0.023346133705707803,0.008275200692951385,535.0,22381.0,64116.0,175112.0,-0.09268341791445597,-0.030420828784744645,1.0,0.3544502258300781,0.0,96.0,3584.78125
02606,0.3212605317868476,0.19137009516360318,0.2528667749397116,0.44036854510392115,10276.0,30362.0,13059.0,208447.0,0.1674081548410769,0.09135048553408749,0.18006018450002467,0.15641739875723162,3650.0,16621.0,19685.0,222188.0,0.21554832779466873,0.12079247152055474,0.1834401420104101,0.26128133704735373,6097.0,27140.0,17238.0,211669.0,-0.07057762364304844,0.029441985986467245,1.0,0.151641845703125,0.0,100.0,1863.09
06765,0.5546797465455378,0.38377636044315916,0.5397329470536891,0.5704779664343901,29063.0,24784.0,21882.0,186415.0,0.46153279744738296,0.2999952138606595,0.6157170923379175,0.3691039356168417,18804.0,11736.0,32141.0,199463.0,0.5440160527447325,0.37364151834934634,0.530013032954757,0.5587790754735499,28467.0,25243.0,22478.0,185956.0,-0.010134842093812824,0.07364630448868681,1.0,0.038219451904296875,0.0,116.0,1390.6637931034484
