expert,background,water,soil/impervious,vegetation,building,farmland,low_veg
expert_0,0,10394,5581,9114,2080,0,116112
expert_1,0,7570,6327,7986,1587,0,121427
expert_2,0,4890,8307,13289,1641,0,118265
expert_3,0,4989,9502,14987,2023,0,123850
