stem,voronoi_f1,voronoi_iou,voronoi_precision,voronoi_recall,voronoi_tp,voronoi_fp,voronoi_fn,voronoi_tn,sam_f1,sam_iou,sam_precision,sam_recall,sam_tp,sam_fp,sam_fn,sam_tn,delta_iou,n_tokens,n_regen_masks,align_mean_centroid_error,align_mean_area_error,align_count_gap
01658,0.044139157705044646,0.02256763709899367,0.023728642963186632,0.31564853556485356,1886.0,77596.0,4089.0,178573.0,0.00367716641881844,0.001841969824200233,0.0021928410190261206,0.011380753138075314,68.0,30942.0,5907.0,225227.0,-0.020725667274793434,65,65,0.0,0.0,0.0
01992,0.21528488570453766,0.12062703116038999,0.12835638730675344,0.6670190274841438,5679.0,38565.0,2835.0,215065.0,0.3097064539224711,0.18322643107830086,0.19794730993005163,0.7112990368804323,6056.0,24538.0,2458.0,229092.0,0.06259939991791087,153,153,0.0,0.0,0.0
01770,0.07160344792507341,0.03713108066285907,0.03738880389823786,0.843425467327049,5279.0,135913.0,980.0,119972.0,0.22831238409231402,0.12886717841358455,0.13609703669583909,0.7081003355168557,4432.0,28133.0,1827.0,227752.0,0.09173609775072548,60,60,0.0,0.0,0.0
00912,0.17183722118167888,0.09399448625288727,0.13421997606064637,0.23875088715400994,10092.0,65098.0,32178.0,154776.0,0.1349825719485487,0.07237603784195032,0.19390287132222617,0.10352495859947954,4376.0,18192.0,37894.0,201682.0,-0.02161844841093695,80,80,0.0,0.0,0.0
02311,0.16769506879753865,0.09152137613224004,0.09223508618541969,0.9220431370706264,19622.0,193117.0,1659.0,47746.0,0.11083986519984688,0.05867150336176885,0.06396216302348152,0.4149711009820967,8831.0,129235.0,12450.0,111628.0,-0.03284987277047119,72,72,0.0,0.0,0.0
02545,0.29173229093531183,0.17077668177374922,0.27008573034760613,0.3171509908819606,23061.0,62323.0,49652.0,127108.0,0.13063892469158536,0.06988426495936961,0.40019741944581544,0.07806031933767002,5676.0,8507.0,67037.0,180924.0,-0.1008924168143796,65,65,0.0,0.0,0.0
01031,0.6485055301868142,0.4798432732591617,0.6386033524473923,0.6587196307535752,72500.0,41029.0,37562.0,111053.0,0.687224295443808,0.5234894986696428,0.8264916559200194,0.5881230579128128,64730.0,13589.0,45332.0,138493.0,0.043646225410481077,138,138,0.0,0.0,0.0
10345,0.24559413845074834,0.13998707131192162,0.2886558159113231,0.21371250486949747,8229.0,20279.0,30276.0,203360.0,0.3513279802347128,0.21309755732054547,0.5481277533039648,0.2585118815738216,9954.0,8206.0,28551.0,215433.0,0.07311048600862385,81,81,0.0,0.0,0.0
08519,0.4530660671335515,0.2928800367666808,0.3745744339781072,0.573174008012989,49070.0,81932.0,36541.0,94601.0,0.1687102633969119,0.0921264724116553,0.4439133681852128,0.10414549532186285,8916.0,11169.0,76695.0,165364.0,-0.2007535643550255,73,73,0.0,0.0,0.0
01577,0.3440829092195502,0.2077899377542994,0.25330271319664754,0.5362772862835518,21398.0,63078.0,18503.0,159165.0,0.25516070028743143,0.14623736428304007,0.3662275561389527,0.195784566802837,7812.0,13519.0,32089.0,208724.0,-0.061552573471259336,103,103,0.0,0.0,0.0
02239,0.10071532505062224,0.05302803017315275,0.06056415590772808,0.2988165680473373,4949.0,76766.0,11613.0,168816.0,0.051642676628941876,0.026505752312203926,0.06563634670887254,0.042567322787103005,705.0,10036.0,15857.0,235546.0,-0.026522277860948826,40,40,0.0,0.0,0.0
01332,0.34693326961173504,0.20987251345276842,0.3093035721648776,0.39498718713799275,22504.0,50253.0,34470.0,154917.0,0.2509887676000633,0.1435032336845914,0.5042377370484161,0.16707621020114438,9519.0,9359.0,47455.0,195811.0,-0.06636927976817703,119,119,0.0,0.0,0.0
01147,0.54218885717831,0.3719198195514321,0.48253965749804767,0.6186652373102479,61173.0,65600.0,37706.0,97665.0,0.60135449516621,0.4299549050048052,0.8328649422715475,0.4705549206606054,46528.0,9337.0,52351.0,153928.0,0.0580350854533731,96,96,0.0,0.0,0.0
07656,0.716581212232192,0.5583377920456573,0.8942655145326002,0.59780211386616,62612.0,7403.0,42125.0,150004.0,0.8737001042043255,0.7757259922208376,0.9857597024773559,0.7845174102752609,82168.0,1187.0,22569.0,156220.0,0.21738820017518035,49,49,0.0,0.0,0.0
