expert,background,water,soil/impervious,vegetation,building,farmland,low_veg
expert_0,0,8472,6558,8303,1630,0,122923
expert_1,0,5043,8944,14341,1741,0,117668
expert_2,0,9492,5346,8796,2036,0,114600
expert_3,0,4836,8869,13936,1924,0,124463
